,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.124,0.1321,0.1213,0.1278,1521896400,7173896.54,908993.34,2018-03-24 15:00:00
1,0.1182,0.1299,0.116,0.125,1521982800,9154617.76,1137753.93,2018-03-25 16:00:00
2,0.1136,0.1187,0.1078,0.1173,1522069200,8225803.45,929605.24,2018-03-26 16:00:00
3,0.1164,0.119,0.1104,0.1146,1522155600,5602193.15,647086.84,2018-03-27 16:00:00
4,0.1015,0.1176,0.1001,0.117,1522242000,8626410.44,930961.79,2018-03-28 16:00:00
5,0.1038,0.1113,0.09752,0.1022,1522328400,29235644.42,3071383.19,2018-03-29 16:00:00
6,0.1069,0.1071,0.09967,0.1018,1522414800,13000087.68,1336011.07,2018-03-30 16:00:00
7,0.09903,0.1068,0.09807,0.1047,1522501200,13257174.2,1357339.3,2018-03-31 16:00:00
8,0.1188,0.1209,0.09706,0.09706,1522587600,43163799.98,4877996.18,2018-04-01 16:00:00
9,0.125,0.1346,0.1146,0.119,1522674000,33253690.79,4134182.47,2018-04-02 16:00:00
10,0.113,0.1307,0.1126,0.1249,1522760400,16728725.85,2036892.04,2018-04-03 16:00:00
11,0.1137,0.1212,0.1084,0.1131,1522846800,19993094.78,2311711.02,2018-04-04 16:00:00
12,0.113,0.1219,0.1109,0.1167,1522933200,17730304.65,2079617.17,2018-04-05 16:00:00
13,0.1151,0.1184,0.1112,0.113,1523019600,5553704.28,637829.5,2018-04-06 16:00:00
14,0.1181,0.119,0.113,0.1146,1523106000,7205410.58,837843.07,2018-04-07 16:00:00
15,0.1136,0.1207,0.1133,0.1178,1523192400,10732066.96,1262499.5,2018-04-08 16:00:00
16,0.1132,0.114,0.1105,0.1132,1523278800,6139234.66,691599.01,2018-04-09 16:00:00
17,0.1172,0.118,0.1126,0.113,1523365200,10305025.67,1195293.82,2018-04-10 16:00:00
18,0.1364,0.1424,0.1169,0.1187,1523451600,35013902.02,4478875.14,2018-04-11 16:00:00
19,0.1646,0.1688,0.1364,0.1364,1523538000,35787398.69,5481353.67,2018-04-12 16:00:00
20,0.1481,0.1641,0.1439,0.1627,1523624400,24947140.52,3854155.51,2018-04-13 16:00:00
21,0.1797,0.1893,0.1482,0.149,1523710800,50926495.48,8790253.79,2018-04-14 16:00:00
22,0.1661,0.1902,0.1654,0.1794,1523797200,39309051.64,7054898.92,2018-04-15 16:00:00
23,0.1757,0.1778,0.1618,0.166,1523883600,14421226.55,2478119.52,2018-04-16 16:00:00
24,0.1762,0.1775,0.1698,0.1753,1523970000,12608731.01,2193086.83,2018-04-17 16:00:00
25,0.1881,0.1903,0.1738,0.1762,1524056400,23445118.67,4295406.13,2018-04-18 16:00:00
26,0.2091,0.2101,0.1877,0.1879,1524142800,21380273.04,4304366.96,2018-04-19 16:00:00
27,0.2103,0.2302,0.1998,0.2091,1524229200,31507462.9,6858051.75,2018-04-20 16:00:00
28,0.2172,0.2248,0.2053,0.2101,1524315600,16015901.79,3444685.88,2018-04-21 16:00:00
29,0.2221,0.2249,0.2134,0.2171,1524402000,10821616.86,2374302.09,2018-04-22 16:00:00
30,0.2216,0.2221,0.2214,0.222,1524488400,24842.86,5505.18,2018-04-23 16:00:00
