,close,high,low,open,time,volumefrom,volumeto,timestamp
0,14.77,15.6,14.52,15.2,1521896400,23365.29,351237.9,2018-03-24 15:00:00
1,13.46,14.94,13.0,14.77,1521982800,55845.67,784933.3,2018-03-25 16:00:00
2,12.71,13.5,12.31,13.46,1522069200,111811.85,1431058.2,2018-03-26 16:00:00
3,13.12,13.89,12.67,12.71,1522155600,71423.93,950115.76,2018-03-27 16:00:00
4,12.37,13.22,12.16,13.12,1522242000,75854.58,958076.27,2018-03-28 16:00:00
5,11.72,12.75,11.35,12.37,1522328400,109203.21,1309945.77,2018-03-29 16:00:00
6,11.85,12.05,11.16,11.72,1522414800,96984.32,1128909.73,2018-03-30 16:00:00
7,11.15,12.0,11.0,11.85,1522501200,87933.98,1012408.08,2018-03-31 16:00:00
8,11.35,11.57,10.57,11.15,1522587600,90946.59,1007988.78,2018-04-01 16:00:00
9,12.1,12.3,11.17,11.35,1522674000,62603.07,740213.55,2018-04-02 16:00:00
10,11.4,12.55,11.21,12.1,1522760400,68903.09,820308.5,2018-04-03 16:00:00
11,10.8,11.49,10.74,11.4,1522846800,60574.74,670594.42,2018-04-04 16:00:00
12,10.7,11.32,10.64,10.8,1522933200,39413.53,430546.64,2018-04-05 16:00:00
13,11.01,11.07,10.6,10.7,1523019600,17590.48,190550.34,2018-04-06 16:00:00
14,11.31,11.4,10.88,11.01,1523106000,26640.54,296939.16,2018-04-07 16:00:00
15,11.0,11.84,10.85,11.31,1523192400,57341.8,655961.65,2018-04-08 16:00:00
16,10.95,11.07,10.76,11.0,1523278800,20845.81,227626.54,2018-04-09 16:00:00
17,11.19,11.27,10.89,10.95,1523365200,15892.13,176709.01,2018-04-10 16:00:00
18,12.28,12.36,11.09,11.19,1523451600,93797.85,1109271.2,2018-04-11 16:00:00
19,13.58,13.6,12.1,12.23,1523538000,82778.27,1070824.07,2018-04-12 16:00:00
20,12.74,13.58,12.53,13.58,1523624400,55579.37,728275.3,2018-04-13 16:00:00
21,13.7,13.71,12.74,12.74,1523710800,22493.83,299295.44,2018-04-14 16:00:00
22,12.82,13.81,12.82,13.7,1523797200,45376.99,601375.52,2018-04-15 16:00:00
23,13.46,13.65,12.58,12.84,1523883600,35589.0,466068.83,2018-04-16 16:00:00
24,13.75,13.98,12.95,13.46,1523970000,62431.53,850941.33,2018-04-17 16:00:00
25,14.39,14.59,13.4,13.75,1524056400,97696.16,1383698.73,2018-04-18 16:00:00
26,15.4,15.71,14.35,14.39,1524142800,79558.62,1187739.02,2018-04-19 16:00:00
27,14.89,16.32,14.28,15.4,1524229200,101175.18,1551438.09,2018-04-20 16:00:00
28,15.5,16.0,14.7,14.89,1524315600,43145.62,660855.93,2018-04-21 16:00:00
29,16.7,17.0,15.14,15.5,1524402000,105383.23,1715096.37,2018-04-22 16:00:00
30,16.76,16.78,16.7,16.7,1524488400,68.62,1146.22,2018-04-23 16:00:00
