,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.1124,0.1154,0.108,0.1114,1521896400,3925208.32,439337.69,2018-03-24 15:00:00
1,0.1072,0.1212,0.1072,0.113,1521982800,13702670.48,1576851.94,2018-03-25 16:00:00
2,0.1042,0.1085,0.1013,0.1068,1522069200,8355407.34,878210.8,2018-03-26 16:00:00
3,0.1058,0.1083,0.1031,0.1059,1522155600,8879471.27,937365.4,2018-03-27 16:00:00
4,0.09695,0.1064,0.09626,0.1064,1522242000,8146699.2,830697.83,2018-03-28 16:00:00
5,0.09282,0.09752,0.08833,0.0966,1522328400,12795807.93,1190665.35,2018-03-29 16:00:00
6,0.09417,0.09463,0.08854,0.09092,1522414800,9349752.15,850256.26,2018-03-30 16:00:00
7,0.0868,0.09344,0.08665,0.09218,1522501200,4389514.31,398050.2,2018-03-31 16:00:00
8,0.09122,0.09161,0.08267,0.08507,1522587600,3444051.04,303703.33,2018-04-01 16:00:00
9,0.1006,0.1047,0.08939,0.09138,1522674000,12616558.77,1227951.4,2018-04-02 16:00:00
10,0.09643,0.1058,0.09505,0.1009,1522760400,10784653.42,1106064.68,2018-04-03 16:00:00
11,0.08979,0.09869,0.08964,0.0965,1522846800,10103792.16,941595.85,2018-04-04 16:00:00
12,0.09066,0.09358,0.0879,0.09218,1522933200,10986271.25,1000259.34,2018-04-05 16:00:00
13,0.09324,0.0941,0.08949,0.09067,1523019600,7617913.18,694899.82,2018-04-06 16:00:00
14,0.09592,0.09634,0.09235,0.09281,1523106000,5889624.49,556144.06,2018-04-07 16:00:00
15,0.09373,0.102,0.09249,0.09566,1523192400,9221133.24,909745.23,2018-04-08 16:00:00
16,0.1001,0.1069,0.09281,0.09352,1523278800,13996281.91,1364724.51,2018-04-09 16:00:00
17,0.1017,0.1049,0.09895,0.09993,1523365200,14783120.74,1508826.27,2018-04-10 16:00:00
18,0.1206,0.13,0.102,0.1029,1523451600,33217811.34,3816145.1,2018-04-11 16:00:00
19,0.1399,0.1405,0.1191,0.1205,1523538000,11941534.95,1550026.5,2018-04-12 16:00:00
20,0.1285,0.1411,0.1276,0.1383,1523624400,10270423.28,1379568.14,2018-04-13 16:00:00
21,0.1535,0.1554,0.1291,0.1292,1523710800,20449705.75,2908738.26,2018-04-14 16:00:00
22,0.1473,0.1636,0.1442,0.1537,1523797200,26099509.16,4036052.29,2018-04-15 16:00:00
23,0.1582,0.1611,0.1439,0.1472,1523883600,13353669.64,2040839.73,2018-04-16 16:00:00
24,0.1544,0.1582,0.1467,0.1579,1523970000,14811574.02,2263740.87,2018-04-17 16:00:00
25,0.167,0.1691,0.1519,0.1544,1524056400,14813639.85,2406533.04,2018-04-18 16:00:00
26,0.173,0.1733,0.1619,0.167,1524142800,15262670.62,2578482.0,2018-04-19 16:00:00
27,0.1617,0.1757,0.1537,0.1726,1524229200,19574023.62,3277607.2,2018-04-20 16:00:00
28,0.1671,0.1689,0.1561,0.1616,1524315600,13276786.93,2158340.73,2018-04-21 16:00:00
29,0.1652,0.1703,0.1596,0.1669,1524402000,11475241.45,1890712.44,2018-04-22 16:00:00
30,0.1643,0.1651,0.1643,0.1651,1524488400,33356.55,5497.16,2018-04-23 16:00:00
