,close,high,low,open,time,volumefrom,volumeto,timestamp
0,194.11,210.82,192.24,200.08,1521896400,1463.68,290409.73,2018-03-24 15:00:00
1,183.82,198.23,181.57,194.11,1521982800,826.44,157247.43,2018-03-25 16:00:00
2,171.73,193.72,168.63,183.82,1522069200,3198.61,570712.95,2018-03-26 16:00:00
3,176.31,182.53,171.02,171.73,1522155600,1220.64,215732.65,2018-03-27 16:00:00
4,158.68,178.34,153.2,176.31,1522242000,3182.3,522247.59,2018-03-28 16:00:00
5,151.6,167.01,149.2,158.68,1522328400,4322.77,672850.12,2018-03-29 16:00:00
6,157.97,168.28,149.1,151.6,1522414800,1661.25,256843.58,2018-03-30 16:00:00
7,151.9,160.68,146.28,157.97,1522501200,991.69,151436.31,2018-03-31 16:00:00
8,158.44,163.27,141.81,151.9,1522587600,1397.66,212610.3,2018-04-01 16:00:00
9,165.49,170.47,154.55,158.44,1522674000,1710.59,277162.56,2018-04-02 16:00:00
10,155.54,172.63,154.35,165.49,1522760400,1835.99,303197.09,2018-04-03 16:00:00
11,145.91,156.28,144.97,155.54,1522846800,1790.61,267817.84,2018-04-04 16:00:00
12,143.55,152.69,142.35,145.91,1522933200,1116.27,164536.34,2018-04-05 16:00:00
13,147.23,149.82,141.85,143.55,1523019600,739.68,107376.39,2018-04-06 16:00:00
14,150.65,152.14,145.84,147.23,1523106000,746.4,111042.77,2018-04-07 16:00:00
15,144.55,155.01,143.89,150.83,1523192400,1608.59,239660.72,2018-04-08 16:00:00
16,143.37,146.92,140.45,144.55,1523278800,1621.08,231360.68,2018-04-09 16:00:00
17,147.48,158.03,143.26,143.37,1523365200,990.8,146185.01,2018-04-10 16:00:00
18,166.95,166.95,146.51,147.48,1523451600,2729.02,420037.45,2018-04-11 16:00:00
19,186.61,187.91,163.41,166.95,1523538000,3296.95,578247.13,2018-04-12 16:00:00
20,177.91,198.7,177.87,186.61,1523624400,2825.11,528696.69,2018-04-13 16:00:00
21,189.04,189.7,177.59,177.91,1523710800,1005.05,183713.92,2018-04-14 16:00:00
22,178.06,191.25,177.86,189.04,1523797200,1916.42,353596.38,2018-04-15 16:00:00
23,183.54,184.79,176.25,178.06,1523883600,1458.83,262957.94,2018-04-16 16:00:00
24,190.41,192.64,178.29,183.54,1523970000,1537.0,286950.59,2018-04-17 16:00:00
25,200.69,208.01,188.65,190.41,1524056400,2359.11,468819.45,2018-04-18 16:00:00
26,220.28,223.16,200.69,200.69,1524142800,3437.61,734809.17,2018-04-19 16:00:00
27,214.28,232.21,206.96,220.28,1524229200,3917.15,868707.1,2018-04-20 16:00:00
28,225.24,229.98,212.09,214.28,1524315600,1228.02,268944.39,2018-04-21 16:00:00
29,231.75,232.01,219.74,225.24,1524402000,1549.95,350672.44,2018-04-22 16:00:00
30,231.18,231.75,230.77,231.75,1524488400,8.08,1863.4,2018-04-23 16:00:00
